com.ygkj.chelaile.standard	chelaile
com.yiqiditu.app	yiqikanditu
com.cmcc.cmvideo	he.video
com.youku.phone	youku
com.tencent.qqlive	qq.video
com.sohu.sohuvideo	sohu.video
com.letv.android.client	letv
com.hunantv.imgo.activity	mangguoTV
com.qiyi.video	aiqiyi
cn.cntv	cntv
com.m1905.mobilefree	m1905
com.baidu.video	baidu.video
com.tencent.weishi	weishi
com.netease.vopen	163gongkaike
com.qihoo.video	360yingshidaquan
com.smile.gifmaker	gifkuaishou
tv.danmaku.bili	bilibili
com.telecom.video	tianyichaogaoqing
air.tv.douyu.android	douyutv
tv.acfundanmaku.video	acfun
com.duowan.kiwi	huyazhibo
com.yixia.xiaokaxiu	xiaokaxiu
com.longzhu.tga	longzhuzhibo
com.com.baomihuawang.androidclient	baomihuashipin
com.wole56.ishow	woxiuyulezhibo
cn.colorv	caishi
com.videogo	yingshiyunshipin
tv.xiaoka.live	yizhibo
com.huajiao	huajiaozhibo
com.netease.cc	cczhibo
com.togic.livevideo	taijieshipin
com.bestv.app	bestv
com.ifensi.fansheadlines	fensiwang
com.babycloud.hanju	hanjuTV
com.kascend.chushou	chushouzhibo
com.ss.android.ugc.live	huoshanxiaoshipin
com.ss.android.article.video	xiguashipin
com.ss.android.ugc.aweme	douyin
com.cmcc.migutvtwo	miguzhibo
com.tencent.qqsports	tengxuntiyu
com.wali.live	xiaomizhibo
com.zbx.ct.tvzhibo	shoujidianshigaoqingzhibo
com.zhongduomei.rrmj.society	renrenshipin
com.znxh.hyhuo	huoying
tv.yixia.bobo	boboshipin
com.pplive.androidphone.sport	pptiyu
com.cmvideo.migumovie	miguyingyuan
com.kugou.fanxing	kugouzhibo
com.tencent.qgame	qiedianjing
com.wondertek.miguaikan	miguaikan
com.baidu.haokan	haokanshipin
dopool.player	shoujidianshi
cn.quicktv.androidpro	jinriyingshidaquan
com.inphase.itv	ishishi
cn.itvsh.bobotv	bobotv
com.qihoo.qeditor	kuaijianji
com.xiangzi.jukandian	jukandian
com.tencent.now	tengxunnowzhibo
com.kugou.android.ktvapp	kugouchangchang
com.melot.meshow	kkmeinvzhibo
com.tiange.miaolive	miaobomeinvzhibo
com.sumavision.sanping.gudou	gudoutv
cn.v6.sixrooms	shiliuzhibo
com.ifeimo.videoeditor	shipinjianjidashi
com.bluedancer.bluedancer	lanwuzhe
com.memezhibo.android	memezhibo
com.rumtel.mobiletv	wtvyingshidaquan
com.taobao.live	taobaozhibo
qsbk.app.remix	remaozhibo
cn.vcinema.cinema	nanguadianying
com.tnscreen.main	duopinghudong
com.qingqi.dianbo	weiguang
com.yueme.itv	xiaoyiguanjia
com.xunlei.kankan	kankanshipin
com.mifeng.ui	mifengzhibo
org.fungo.a8sport	a8tiyuzhibo
com.tencent.firevideo	yooshipin
cn.xiaochuankeji.zuiyouLite	pipigaoxiao
com.dianshijia.tvlive	dianshijia
com.jm.video	shuabao2
com.unicom.woshipin	woshipin2
com.baidu.minivideo	quanminxiaoshipin
com.tencent.rijvideo	kandianshipin
com.meelive.ingkee	yingke
com.cctv.yangshipin.app.androidp	yangshipin
com.duowan.mobile	yywaiwai
com.le123.ysdq	yingshidaquan2
sg.bigo.shrimp	pipixie
com.cmcc.android.ysx	yunshixun
com.netease.play	lookzhibo
com.bilibili.qing	qingshipin
com.ukids.client.phone	xiaoxiaoyouqu
tv.tvguo.androidphone	dianshiguo
com.hisense.ms.fly2tv	haixinjuhaokan
com.video.v8090	huoquxiaoshipin
com.video.kd	kuaidouduanshipin
com.zstv	zhongshanshoujitai
com.tencent.abcmouse	tengxunabcmouse
com.m4399.youpai	4399youpai
com.android.wasu.enjoytv	huashudianshi
