com.iyd.reader.ReadingJoy	爱阅读
com.tencent.WBlog	腾讯微博
com.google.android.apps.maps	谷歌地图
com.autonavi.minimap	高德导航
com.apple.maps	苹果地图
com.youku.phone	优酷
com.smile.gifmaker	快手
com.panda.videoliveplatform	熊猫TV
com.ss.android.ugc.aweme	抖音
com.ss.android.ugc.live	火山小视频
com.yitingyinyue.android	一听音乐
com.jiuku	九酷音乐
bubei.tingshu	懒人听书
fm.qingting.qtradio	蜻蜓FM
com.ximalaya.ting.android	喜马拉雅听
com.baidu.appsearch	百度手机助手
com.xiaomi.market	小米应用商店
com.yingyonghui.market	应用汇
com.huawei.appmarket	华为应用市场
com.infinit.wostore.ui	沃商店
com.sogou.androidtool	搜狗手机助手
bf.sgs.hdexp	三国杀
com.tencent.feiji	全民飞机大战
com.anzogame.lol	LOL掌游宝
cn.ninegame.gamemanager	九游
com.duowan.webapp	多玩游戏
com.tencent.tmgp.sgame	王者荣耀
com.icbc	中国工商银行
com.chinatelecom.bestpayclient	翼支付
com.storm.smart	暴风影音
com.duowan.mobile	手机YY
com.sina.news	新浪新闻
com.ifeng.news2	凤凰新闻
com.meilishuo	美丽说
com.douguo.recipe	豆果美食
com.shoujiduoduo.ringtone	铃声多多
com.haodou.recipe	好豆菜谱
com.xcar.activity	爱卡汽车
com.breadtrip.trip	面包旅行
com.tencent.QQLottery	QQ彩票
com.jesson.meishi	美食杰
com.netease.huatian	花田
com.theotino.chinadaily	ChinaDaily
com.xywy.askxywy	寻医问药
com.yoloho.dayima	大姨吗
com.haobao.wardrobe	明星衣橱
com.wangzhi.MaMaHelp	辣妈帮
net.iaround	遇见
com.baidu.homework	作业帮
com.ts.zys	快速问医生
com.daohang2345	2345网址导航
com.hipu.yidian	一点资讯
com.jifen.qukan	趣头条
com.sstar.live	证券之星
com.eastmoney.android.washington	东方财富
com.hundsun.winner.pazq	平安证券
com.cleanmaster.mguard_cn	猎豹清理大师
com.jm.android.jumei	聚美优品
com.yek.lafaso	乐蜂网
com.xingin.xhs	小红书海外购物神器
so.ofo.labofo	OFO共享单车
com.ylmf.androidclient	115
com.baidu.searchbox	百度公共流量
com.meelive.ingkee	映客直播
com.huajiao	花椒直播
tv.xiaoka.live	一直播
com.hf	中国天气
com.intsig.camscanner	扫描全能王
com.calendar.UI	黄历天气
com.lemon.faceu	Faceu激萌
com.campmobile.snowcamera	B612咔叽
com.carrot.carrotfantasy	保卫萝卜
